Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2019-09-26,"8,103.6","8,475.3","8,489.9","7,800.1",15.42K,-4.38%,"26,891.12","8,030.66","2,977.60",1515.2,62.08,-0.1107558310031891,Negative,Negative
2019-09-27,"8,213.4","8,105.9","8,296.5","7,906.3",7.47K,1.35%,"26,820.25","7,939.63","2,961.80",1523.3,62.48,-0.128345724567771,Negative,Negative
2019-09-28,"8,238.6","8,215.3","8,354.7","8,047.9",5.45K,0.31%,,,,,,-0.04397856838562909,Negative,Negative
2019-09-29,"8,090.0","8,238.2","8,260.2","7,930.7",6.14K,-1.80%,,,,,,-0.0736554952768179,Positive,Negative
2019-09-30,"8,331.1","8,090.1","8,384.0","7,753.0",10.92K,2.98%,"26,916.83","7,999.33","2,976.70",1472.9,60.99,-0.0972818982388292,Negative,Negative
2019-10-01,"8,334.9","8,331.1","8,539.0","8,228.0",5.84K,0.05%,"26,573.04","7,908.67","2,940.20",1489.0,60.06,-0.134480856359005,Negative,Negative
2019-10-02,"8,413.4","8,333.7","8,419.9","8,193.5",3.45K,0.94%,"26,078.62","7,785.23","2,887.60",1507.9,57.92,-0.001572237960223494,Negative,Positive
2019-10-03,"8,257.9","8,414.9","8,440.0","8,100.7",3.72K,-1.85%,"26,201.04","7,872.25","2,910.60",1513.8,58.01,-0.01206482990699656,Negative,Positive
2019-10-04,"8,170.0","8,260.5","8,264.9","8,040.0",3.05K,-1.06%,"26,573.72","7,982.46","2,952.00",1512.9,59.13,-0.07260540340627943,Negative,Positive
2019-10-05,"8,162.5","8,170.1","8,210.7","8,040.0",3.33K,-0.09%,,,,,,-0.1867170855402946,Negative,Negative
2019-10-06,"7,883.1","8,162.5","8,183.1","7,807.1",5.85K,-3.42%,,,,,,-0.08167858173449834,Positive,Positive
2019-10-07,"8,227.0","7,886.2","8,342.0","7,794.9",8.15K,4.36%,"26,478.02","7,956.28","2,938.80",1504.4,59.46,-0.1299717354051995,Negative,Negative
2019-10-08,"8,211.2","8,234.6","8,362.0","8,132.8",3.47K,-0.19%,"26,164.04","7,823.76","2,893.10",1503.9,58.14,0.05164014524029147,Positive,Positive
2019-10-09,"8,607.5","8,205.0","8,717.9","8,146.6",8.39K,4.83%,"26,346.01","7,903.73","2,919.40",1512.8,59.7,-0.03788316907251582,Negative,Positive
2019-10-10,"8,596.0","8,610.4","8,682.8","8,472.0",4.32K,-0.13%,"26,496.67","7,950.77","2,938.10",1500.9,59.08,0.04834817489609122,Positive,Positive
2019-10-11,"8,280.0","8,596.0","8,815.2","8,253.0",6.08K,-3.68%,"26,816.59","8,057.04","2,970.30",1500.6,60.59,-0.1141515265150768,Positive,Negative
2019-10-12,"8,318.3","8,278.2","8,421.0","8,272.5",1.71K,0.46%,,,,,,-0.06018613278865814,Negative,Positive
2019-10-13,"8,305.7","8,319.6","8,477.4","8,179.3",4.04K,-0.15%,,,,,,0.1275897721449534,Positive,Positive
2019-10-14,"8,370.0","8,304.9","8,423.5","8,230.1",2.54K,0.77%,"26,787.36","8,048.65","2,966.20",1497.6,58.81,-0.05922516742173363,Negative,Negative
2019-10-15,"8,191.1","8,370.0","8,433.7","8,123.6",3.28K,-2.14%,"27,024.80","8,148.71","2,995.70",1483.5,59.19,0.1133813656428281,Positive,Positive
2019-10-16,"8,016.0","8,191.0","8,203.2","7,960.0",7.08K,-2.14%,"27,001.98","8,124.18","2,989.70",1494.0,59.3,0.02224675904620778,Negative,Positive
2019-10-17,"8,092.3","8,016.1","8,144.9","7,949.3",2.81K,0.95%,"27,025.88","8,156.85","2,997.90",1498.3,59.35,-0.08140040934085846,Negative,Negative
2019-10-18,"7,987.2","8,092.4","8,135.1","7,860.0",5.30K,-1.30%,"26,770.20","8,089.54","2,986.20",1510.4,59.96,-0.07072008633986115,Negative,Negative
2019-10-19,"7,992.9","7,987.3","8,117.0","7,927.0",3.51K,0.07%,,,,,,-0.3632032175858815,Negative,Negative
2019-10-20,"8,260.6","7,993.0","8,335.6","7,922.0",4.87K,3.35%,,,,,,-0.02279330790042877,Positive,Negative
2019-10-21,"8,243.9","8,260.7","8,371.3","8,181.8",3.41K,-0.20%,"26,827.64","8,162.99","3,006.70",1488.1,58.95,0.05895933508872986,Negative,Positive
2019-10-22,"8,058.9","8,242.2","8,332.2","8,037.1",3.85K,-2.24%,"26,788.10","8,104.30","2,996.00",1487.5,60.5,-0.08352063383374896,Negative,Negative
2019-10-23,"7,493.7","8,053.7","8,074.5","7,341.5",12.98K,-7.01%,"26,833.95","8,119.79","3,004.50",1495.7,60.52,-0.1435595082385199,Negative,Negative
2019-10-24,"7,453.0","7,493.6","7,529.0","7,372.0",5.80K,-0.54%,"26,805.53","8,185.80","3,010.30",1504.7,61.71,-0.08615301900050219,Negative,Negative
2019-10-25,"8,679.1","7,453.0","8,800.0","7,426.0",17.10K,16.45%,"26,958.06","8,243.12","3,022.60",1522.2,62.06,-0.06863860748708248,Negative,Negative
2019-10-26,"9,270.9","8,679.3","10,464.1","8,662.9",32.06K,6.82%,,,,,,-0.230560785248166,Negative,Negative
2019-10-27,"9,571.8","9,270.9","9,815.6","9,121.6",11.11K,3.25%,,,,,,0.1709822806028219,Positive,Positive
2019-10-28,"9,225.7","9,574.1","9,948.0","9,216.8",8.99K,-3.62%,"27,090.72","8,325.99","3,039.40",1495.8,60.39,-0.1823778876970554,Negative,Negative
2019-10-29,"9,445.5","9,229.2","9,558.3","9,101.3",6.73K,2.38%,"27,071.42","8,276.85","3,036.90",1497.7,61.05,-0.007102545882974353,Negative,Positive
2019-10-30,"9,184.3","9,445.5","9,446.9","9,035.0",5.05K,-2.77%,"27,186.69","8,303.98","3,046.80",1496.7,60.22,-0.0332090720053642,Negative,Negative
2019-10-31,"9,185.6","9,184.4","9,460.7","8,984.8",5.67K,0.01%,"27,046.23","8,292.36","3,037.60",1514.8,59.3,0.002086462993775645,Positive,Positive
2019-11-01,"9,289.1","9,185.6","9,332.1","9,087.4",4.09K,1.13%,"27,347.36","8,386.40","3,066.90",1523.7,60.17,-0.2267893460290185,Negative,Negative
2019-11-02,"9,332.1","9,288.4","9,429.4","9,251.8",3.66K,0.46%,,,,,,0.02305608987808228,Negative,Positive
2019-11-03,"9,222.4","9,332.2","9,400.6","9,100.0",3.62K,-1.18%,,,,,,-0.1636413127183914,Positive,Negative
2019-11-04,"9,441.2","9,223.0","9,621.8","9,152.0",7.47K,2.37%,"27,462.11","8,433.20","3,078.30",1511.1,62.52,-0.05746536205212275,Negative,Positive
2019-11-05,"9,333.9","9,440.0","9,504.1","9,200.0",3.41K,-1.14%,"27,492.63","8,434.68","3,074.60",1483.7,62.72,-0.09895995884172377,Negative,Negative
2019-11-06,"9,353.0","9,334.0","9,475.0","9,278.0",3.47K,0.20%,"27,492.56","8,410.63","3,076.80",1493.1,62.11,-0.1312330537117445,Negative,Negative
2019-11-07,"9,208.0","9,355.0","9,387.1","9,086.5",3.75K,-1.55%,"27,674.80","8,434.52","3,085.20",1466.4,62.6,-0.1377392282088598,Negative,Negative
2019-11-08,"8,782.4","9,209.2","9,252.4","8,688.1",7.86K,-4.62%,"27,681.24","8,475.31","3,093.10",1480.0,62,0.03520811145955866,Negative,Positive
2019-11-09,"8,828.0","8,782.3","8,891.4","8,735.9",1.96K,0.52%,,,,,,-0.009412471204996109,Positive,Negative
2019-11-10,"9,068.4","8,827.1","9,156.9","8,764.0",4.64K,2.72%,,,,,,-0.04991701458181654,Positive,Negative
2019-11-11,"8,737.7","9,069.7","9,107.3","8,633.4",4.24K,-3.65%,"27,691.49","8,464.28","3,087.00",1457.1,62.58,-0.07792573021008418,Negative,Negative
2019-11-12,"8,830.0","8,737.7","8,891.5","8,602.1",3.50K,1.06%,"27,691.49","8,486.09","3,091.80",1453.7,62.19,-0.004095455462282354,Negative,Positive
2019-11-13,"8,801.1","8,830.0","8,849.3","8,730.3",1.34K,-0.33%,"27,783.59","8,482.10","3,094.00",1463.3,62.27,-0.1199020577801598,Negative,Negative
2019-11-14,"8,655.7","8,800.9","8,817.4","8,601.4",3.30K,-1.65%,"27,781.96","8,479.02","3,096.60",1473.4,62.46,-0.06631229688291965,Negative,Negative
2019-11-15,"8,495.8","8,655.5","8,798.1","8,420.2",5.18K,-1.85%,"28,004.89","8,540.83","3,120.50",1480.8,63.32,-0.1084354350964228,Negative,Negative
2019-11-16,"8,523.5","8,494.8","8,553.1","8,442.7",1.53K,0.33%,,,,,,0.08625023961067199,Positive,Positive
2019-11-17,"8,537.3","8,523.4","8,662.9","8,422.0",2.84K,0.16%,,,,,,0.009039454839446327,Positive,Positive
2019-11-18,"8,219.5","8,536.7","8,536.8","8,119.0",6.36K,-3.72%,"28,036.22","8,549.94","3,122.00",1471.9,62.82,-0.1741114026483367,Negative,Negative
2019-11-19,"8,164.9","8,219.5","8,241.9","8,055.2",3.70K,-0.66%,"27,934.02","8,570.66","3,120.20",1474.3,62.37,0.01668234217551447,Negative,Positive
2019-11-20,"8,126.4","8,164.9","8,255.0","8,081.0",2.06K,-0.47%,"27,821.09","8,526.73","3,108.50",1474.2,63.8,-0.008500513253789959,Negative,Positive
2019-11-21,"7,671.1","8,126.4","8,155.9","7,510.1",9.89K,-5.60%,"27,766.29","8,506.21","3,103.50",1463.6,64.99,-0.2756514770644052,Negative,Negative
2019-11-22,"7,323.0","7,672.5","7,763.3","6,820.1",19.37K,-4.54%,"27,875.62","8,519.89","3,110.30",1481.2,64.83,-0.20950928191806,Negative,Negative
2019-11-23,"7,352.6","7,318.6","7,385.0","7,141.0",4.63K,0.40%,,,,,,-0.1097872431079547,Negative,Negative
2019-11-24,"6,965.3","7,352.7","7,372.0","6,922.0",8.58K,-5.27%,,,,,,-0.2413837114969889,Positive,Negative
2019-11-25,"7,168.0","6,965.2","7,413.6","6,619.4",18.52K,2.91%,"28,066.47","8,632.49","3,133.60",1456.9,64.67,-0.2512679255008697,Negative,Negative
2019-11-26,"7,198.3","7,162.8","7,384.7","7,061.2",5.20K,0.42%,"28,121.68","8,647.93","3,140.50",1467.4,64.82,-0.1850539211715971,Negative,Negative
2019-11-27,"7,549.3","7,198.3","7,689.0","6,880.0",13.90K,4.88%,"28,164.00","8,705.17","3,153.60",1475.9,65.03,-0.3435732590464445,Negative,Negative
2019-11-28,"7,460.8","7,547.3","7,683.0","7,415.0",4.34K,-1.17%,,,,1464.2,64.68,0.02501049951503151,Negative,Positive
2019-11-29,"7,796.6","7,460.7","7,916.3","7,450.0",7.28K,4.50%,"28,051.41","8,665.47","3,141.00",1483.2,64.5,-0.0834861946105957,Negative,Negative
2019-11-30,"7,599.9","7,796.5","7,849.6","7,495.0",4.97K,-2.52%,,,,,,0.005784392356872559,Negative,Positive
2019-12-01,"7,450.1","7,599.9","7,600.1","7,288.7",6.33K,-1.97%,,,,,,-0.05275816151074001,Positive,Negative
2019-12-02,"7,350.3","7,450.1","7,467.3","7,209.4",4.63K,-1.34%,"27,783.04","8,567.99","3,113.90",1469.2,63.2,-0.03952370371137347,Negative,Positive
2019-12-03,"7,336.0","7,350.2","7,453.5","7,288.0",2.30K,-0.19%,"27,502.81","8,520.64","3,093.20",1484.4,62.95,-0.1336435953776042,Negative,Negative
2019-12-04,"7,238.2","7,336.9","7,887.7","7,134.1",11.72K,-1.33%,"27,649.78","8,566.67","3,112.80",1480.2,65.25,-0.04985416045895329,Negative,Negative
2019-12-05,"7,440.0","7,239.3","7,522.8","7,193.7",4.79K,2.79%,"27,677.79","8,570.70","3,117.40",1483.1,65.67,-0.09685356259346008,Positive,Negative
