Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2021-07-14,32822.6,32727.0,33117.0,31596.0,5190.0,0.0029,34933.23,14644.95,4374.3,1825.0,75.74,-0.003572005841691615,Positive,Negative
2021-07-15,31857.0,32822.6,33194.0,31170.0,6960.0,-0.0294,34987.02,14543.13,4360.0,1829.0,74.53,-0.1580570372296315,Negative,Negative
2021-07-16,31429.0,31875.0,32266.0,31055.0,5380.0,-0.0134,34687.85,14427.24,4327.2,1815.0,74.46,-0.0394884642958641,Negative,Positive
2021-07-17,31559.0,31427.0,31975.0,31224.0,13710.0,0.0040999999999999995,34687.85,14427.24,4327.2,1815.0,74.46,-0.05988943644545295,Positive,Negative
2021-07-18,31824.0,31559.0,32427.0,31211.8,12410.0,0.0084,34687.85,14427.24,4327.2,1815.0,74.46,0.006295645306276721,Positive,Positive
2021-07-19,30847.0,31824.0,31924.0,30514.0,12800.0,-0.030699999999999998,33962.04,14274.98,4258.5,1809.2,69.33,0.002259704470634461,Positive,Positive
2021-07-20,29806.1,30847.0,31075.0,29341.0,8880.0,-0.0337,34511.99,14498.88,4323.1,1811.4,70.03,0.03031303556192489,Negative,Positive
2021-07-21,32141.0,29806.1,32804.0,29545.0,8250.0,0.0783,34798.0,14631.95,4358.7,1803.4,72.54,-0.002628594636917114,Negative,Positive
2021-07-22,32320.0,32141.0,32609.7,31747.0,5230.0,0.005600000000000001,34823.35,14684.6,4367.5,1805.4,74.25,0.03325138155554162,Negative,Positive
2021-07-23,33597.1,32320.0,33625.3,32020.0,3970.0,0.0395,35061.55,14836.99,4411.8,1810.9,74.86,-0.01348766088485718,Positive,Negative
2021-07-24,33845.0,33597.1,34043.0,33422.0,3340.0,0.0074,35061.55,14836.99,4411.8,1810.9,74.86,-0.1183451983061704,Positive,Negative
